Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
POPR4,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.056,1.08,0.152,0.199,0.0,545803000.0,0.82,0.309
PORP4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.0,22399000.0,0.0,0.136
CFLU4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.107,1.1,0.176,0.321,0.0,60351000.0,0.06,0.081
CSTB3,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.289,2.6,0.223,0.201,0.0,8420670000.0,0.14,0.319
PMET3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,-290863000.0,0.0,0.377
CSTB4,147.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.289,2.6,0.223,0.201,0.0,8420670000.0,0.14,0.319
CLAN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.0,1012240000.0,0.0,-0.64
MNSA3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.082,-3.627,3.63,-0.135,1.456,0.0,-9105000.0,-6.52,-0.412
MNSA4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.082,-3.627,3.63,-0.135,1.456,0.0,-9105000.0,-6.52,-0.412
IVTT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,1083050000.0,0.0,0.206
GNDI3,66.95,-3584.82,5.84,3.423,0.023,2.378,7965.0,87.05,-6.21,91.13,50.88,0.039,-0.001,1.17,0.03,-0.002,0.0,7116080000.0,0.53,0.252
GPAR3,47.5,-1248.65,4.94,441.514,0.0,4.566,1601.0,1947.84,20.32,1854.27,1881.39,0.226,-0.354,20.08,0.003,-0.004,0.0,766309000.0,0.02,-0.574
PRNR3,12.29,-681.95,1.88,0.59,0.005,0.628,289.0,9.63,-4.36,13.15,7.65,0.061,0.007,1.75,0.084,-0.003,4171270.0,306004000.0,1.31,0.427
PLDN4,486.0,-553.07,1.08,0.919,0.0,0.611,107.0,-75.56,3.1,-33.12,-33.12,-0.013,-0.002,10.81,-0.013,-0.002,0.0,289939000.0,0.01,0.102
HETA3,96.0,-470.77,-0.14,12.606,0.0,3.407,-4036.0,16.21,-0.14,123.65,123.65,0.777,-0.027,0.75,0.21,0.0,0.0,-351500000.0,-0.92,0.372
PETZ3,4.91,-459.16,1.25,0.708,0.0,0.576,346.0,14.32,-2.95,14.47,4.65,0.049,-0.002,1.94,0.05,-0.003,74482200.0,1813550000.0,0.24,0.221
BAHI4,86.0,-411.61,24.38,6.24,0.0,4.149,-1679.0,-301.61,-5.42,-315.28,245.72,-0.021,-0.012,0.21,-0.015,-0.06,0.0,93107000.0,1.22,0.309
LCSA4,35.09,-337.52,-228.0,79.738,0.0,125.308,-20227.0,-505.8,-96.61,-506.56,-506.56,-0.158,-0.237,0.29,-0.288,0.675,0.0,-377568000.0,-0.35,63.54
BAHI5,65.0,-311.1,18.42,4.716,0.0,3.136,-1269.0,-227.96,-4.09,-241.63,188.32,-0.021,-0.012,0.21,-0.015,-0.06,0.0,93107000.0,1.22,0.309
CRFB3,9.28,-305.81,1.0,0.174,0.0,0.214,-961.0,4.8,-0.72,8.62,5.91,0.036,0.001,0.95,0.06,-0.004,78856300.0,19620000000.0,1.21,0.164
BHGR3,19.1,-272.16,1.1,3.613,0.0,0.855,-19445.0,23.7,-8.56,25.95,14.2,0.152,-0.014,0.96,0.039,-0.004,0.0,1077600000.0,0.2,0.206
DMMO3,1.76,-258.65,-1.72,2.854,0.0,3.346,119.0,6.37,-1.37,5.9,5.42,0.448,-0.012,2.25,0.703,0.006,0.0,-553275000.0,0.0,-0.174
SCLO3,14.1,-250.46,-103.05,0.0,0.0,239.427,-9659.0,-160.72,-90.43,-160.9,-160.9,0.0,0.0,0.21,-1.918,0.411,0.0,-131355.0,-0.21,-0.665
RJCP3,0.01,-224.7,0.65,0.0,0.0,0.619,0.0,-522.94,0.0,-523.96,-917.32,0.0,0.0,0.0,0.0,-0.003,0.0,17287200.0,0.0,0.0
