Index,Empresa,Papél,Classificacao,Setor
1,COMGAS,CGAS3,Mid Cap,Novo Mercado
1,COMGAS,CGAS5,Mid Cap,Novo Mercado
2,VALE,VALE3,Mega Cap,Novo Mercado
3,SANTANDER BR,SANB3,Big Cap,Balcão Org. Tradicional
3,SANTANDER BR,SANB4,Big Cap,Balcão Org. Tradicional
3,SANTANDER BR,SANB11,Big Cap,Balcão Org. Tradicional
4,CELESC,CLSC3,Small Cap,Nível 2 de Governança Corporativa
4,CELESC,CLSC4,Small Cap,Nível 2 de Governança Corporativa
5,VIVARA S.A.,VIVA3,Mid Cap,Novo Mercado
6,BANCO PAN,BPAN4,Mid Cap,Nível 1 de Governança Corporativa
7,VITRUEDUCA,VTRU3,Small Cap,Novo Mercado
8,COPEL,CPLE3,Big Cap,Nível 2 de Governança Corporativa
8,COPEL,CPLE5,Big Cap,Nível 2 de Governança Corporativa
8,COPEL,CPLE6,Big Cap,Nível 2 de Governança Corporativa
9,BBMLOGISTICA,BBML3,-,Bovespa Mais
10,BRADESPAR,BRAP3,Mid Cap,Nível 1 de Governança Corporativa
10,BRADESPAR,BRAP4,Mid Cap,Nível 1 de Governança Corporativa
11,COSERN,CSRN3,Small Cap,Balcão Org. Tradicional
11,COSERN,CSRN5,Small Cap,Balcão Org. Tradicional
11,COSERN,CSRN6,Small Cap,Balcão Org. Tradicional
12,CIMS,CMSA3,-,Novo Mercado
12,CIMS,CMSA4,-,Novo Mercado
13,ALIPERTI,APTI3,Nano Cap,Novo Mercado
13,ALIPERTI,APTI4,Nano Cap,Novo Mercado
14,CYRELA REALT,CYRE3,Mid Cap,Novo Mercado
15,3R PETROLEUM,BRAV3,Mid Cap,Novo Mercado
16,BRASKEM,BRKM3,Mid Cap,Nível 1 de Governança Corporativa
16,BRASKEM,BRKM5,Mid Cap,Nível 1 de Governança Corporativa
16,BRASKEM,BRKM6,Mid Cap,Nível 1 de Governança Corporativa
17,DEXXOS PAR,DEXP3,Micro Cap,Nível 1 de Governança Corporativa
17,DEXXOS PAR,DEXP4,Micro Cap,Nível 1 de Governança Corporativa
18,ZAMP S.A.,ZAMP3,Micro Cap,Novo Mercado
19,DOHLER,DOHL3,Micro Cap,Novo Mercado
19,DOHLER,DOHL4,Micro Cap,Novo Mercado
20,BR PARTNERS,BRBI11,Small Cap,Nível 2 de Governança Corporativa
21,ECORODOVIAS,ECOR3,Mid Cap,Novo Mercado
22,POMIFRUTAS,FRTA3,Nano Cap,Novo Mercado
23,IND CATAGUAS,CATA3,-,Nível 2 de Governança Corporativa
23,IND CATAGUAS,CATA4,-,Nível 2 de Governança Corporativa
24,ENERGISA MT,ENMT3,Mid Cap,Novo Mercado
24,ENERGISA MT,ENMT4,Mid Cap,Novo Mercado
25,CAMBUCI,CAMB3,Micro Cap,Novo Mercado
26,EQUATORIAL,EQTL3,Big Cap,Novo Mercado
27,CBA,CBAV3,Small Cap,Novo Mercado
28,ESTRELA,ESTR3,Nano Cap,Balcão Org. Tradicional
28,ESTRELA,ESTR4,Nano Cap,Balcão Org. Tradicional
29,TAESA,TAEE3,Mid Cap,Nível 2 de Governança Corporativa
29,TAESA,TAEE4,Mid Cap,Nível 2 de Governança Corporativa
29,TAESA,TAEE11,Mid Cap,Nível 2 de Governança Corporativa
30,HABITASUL,HBTS3,Nano Cap,Novo Mercado
30,HABITASUL,HBTS5,Nano Cap,Novo Mercado
30,HABITASUL,HBTS6,Nano Cap,Novo Mercado
31,TELEBRAS,TELB3,Small Cap,Balcão Org. Tradicional
31,TELEBRAS,TELB4,Small Cap,Balcão Org. Tradicional
32,UNICASA,UCAS3,Nano Cap,Novo Mercado
33,HAGA S/A,HAGA3,Nano Cap,Balcão Org. Tradicional
33,HAGA S/A,HAGA4,Nano Cap,Balcão Org. Tradicional
34,COELCE,COCE3,Small Cap,Novo Mercado
34,COELCE,COCE5,Small Cap,Novo Mercado
34,COELCE,COCE6,Small Cap,Novo Mercado
35,HYPERA,HYPE3,Mid Cap,Novo Mercado
36,BANPARA,BPAR3,Small Cap,Nível 1 de Governança Corporativa
37,CRISTAL,CRPG3,Micro Cap,Balcão Org. Tradicional
37,CRISTAL,CRPG5,Micro Cap,Balcão Org. Tradicional
37,CRISTAL,CRPG6,Micro Cap,Balcão Org. Tradicional
38,USIMINAS,USIM3,Mid Cap,Nível 1 de Governança Corporativa
38,USIMINAS,USIM5,Mid Cap,Nível 1 de Governança Corporativa
