Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
POPR4;10,17;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;8,66%;5,65%;1,08;15,25%;19,93%;0,00;545.803.000,00;0,82;30,93%
PORP4;2,40;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-2,08%;0,00;22.399.000,00;0,00;13,66%
CFLU4;1.000,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;8,88%;10,72%;1,10;17,68%;32,15%;0,00;60.351.000,00;0,06;8,14%
CSTB3;150,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%
PMET3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,10%;0,00;-290.863.000,00;0,00;37,74%
CSTB4;147,69;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%
CLAN3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-1,05%;0,00;1.012.240.000,00;0,00;-63,96%
MNSA3;0,42;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%
MNSA4;0,47;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%
IVTT3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-0,40%;0,00;1.083.050.000,00;0,00;20,67%
GNDI3;66,95;-3.584,82;5,84;3,423;2,39%;2,378;79,65;87,05;-6,21;91,13;50,88;3,93%;-0,09%;1,17;3,09%;-0,16%;0,00;7.116.080.000,00;0,53;25,23%
GPAR3;47,50;-1.248,65;4,94;441,514;0,00%;4,566;16,01;1.947,84;20,32;1.854,27;1.881,39;22,67%;-35,36%;20,08;0,31%;-0,40%;0,00;766.309.000,00;0,02;-57,34%
PRNR3;12,29;-681,95;1,88;0,590;0,59%;0,628;2,89;9,63;-4,36;13,15;7,65;6,13%;0,76%;1,75;8,49%;-0,28%;4.171.270,00;306.004.000,00;1,31;42,77%
PLDN4;486,00;-553,07;1,08;0,919;0,00%;0,611;1,07;-75,56;3,10;-33,12;-33,12;-1,22%;-0,17%;10,81;-1,27%;-0,20%;0,00;289.939.000,00;0,01;10,26%
HETA3;96,00;-470,77;-0,14;12,606;0,00%;3,407;-40,36;16,21;-0,14;123,65;123,65;77,78%;-2,68%;0,75;21,09%;0,03%;0,00;-351.500.000,00;-0,92;37,25%
PETZ3;4,91;-459,16;1,25;0,708;0,06%;0,576;3,46;14,32;-2,95;14,47;4,65;4,94%;-0,15%;1,94;5,01%;-0,27%;74.482.200,00;1.813.550.000,00;0,24;22,18%
BAHI4;86,00;-411,61;24,38;6,240;0,00%;4,149;-16,79;-301,61;-5,42;-315,28;245,72;-2,07%;-1,19%;0,21;-1,42%;-5,92%;0,00;93.107.000,00;1,22;30,91%
LCSA4;35,09;-337,52;-228,00;79,738;0,00%;125,308;-202,27;-505,80;-96,61;-506,56;-506,56;-15,77%;-23,63%;0,29;-28,74%;67,55%;0,00;-377.568.000,00;-0,35;6.354,07%
BAHI5;65,00;-311,10;18,42;4,716;0,00%;3,136;-12,69;-227,96;-4,09;-241,63;188,32;-2,07%;-1,19%;0,21;-1,42%;-5,92%;0,00;93.107.000,00;1,22;30,91%
CRFB3;9,28;-305,81;1,00;0,174;0,00%;0,214;-9,61;4,80;-0,72;8,62;5,91;3,63%;0,14%;0,95;6,01%;-0,33%;78.856.300,00;19.620.000.000,00;1,21;16,46%
BHGR3;19,10;-272,16;1,10;3,613;0,00%;0,855;-194,45;23,70;-8,56;25,95;14,20;15,24%;-1,31%;0,96;3,93%;-0,40%;0,00;1.077.600.000,00;0,20;20,67%
DMMO3;1,76;-258,65;-1,72;2,854;0,00%;3,346;11,90;6,37;-1,37;5,90;5,42;44,81%;-1,10%;2,25;70,39%;0,66%;0,00;-553.275.000,00;0,00;-17,37%
SCLO3;14,10;-250,46;-103,05;0,000;0,00%;239,427;-96,59;-160,72;-90,43;-160,90;-160,90;0,00%;0,00%;0,21;-191,75%;41,14%;0,00;-131.355,00;-0,21;-66,45%
RJCP3;0,01;-224,70;0,65;0,000;0,00%;0,619;0,00;-522,94;0,00;-523,96;-917,32;0,00%;0,00%;0,00;0,00%;-0,29%;0,00;17.287.200,00;0,00;0,00%
ABYA3;4,91;-214,80;1,76;2,055;0,00%;0,527;1,98;19,96;-2,75;33,67;33,67;10,29%;-0,96%;2,09;2,78%;-0,82%;0,00;292.060.000,00;1,31;16,41%
PITI4;1,28;-204,74;0,00;0,000;0,00%;0,000;0,00;-2.637,65;0,00;-2.637,65;111,07;0,00%;0,00%;0,00;0,00%;0,00%;0,00;0,00;0,00;-29,63%
LCSA3;12,50;-120,23;-81,22;28,405;0,00%;44,638;-72,05;-180,18;-34,41;-180,95;-180,95;-15,77%;-23,63%;0,29;-28,74%;67,55%;0,00;-377.568.000,00;-0,35;6.354,07%
MAGG3;59,40;-119,98;1,32;0,684;0,00%;0,440;9,32;4,07;-1,55;6,41;5,34;16,82%;-0,57%;1,14;14,05%;-1,10%;0,00;2.246.130.000,00;1,03;9,27%
DOHL3;10,17;-117,24;1,11;1,311;0,00%;0,791;1,77;-293,18;2,91;-317,68;54,77;-0,45%;-1,12%;4,88;-0,30%;-0,95%;0,00;691.577.000,00;0,17;5,26%
SQIA3;27,37;-110,33;3,70;3,592;0,00%;1,490;25,87;62,33;-3,84;67,32;18,50;5,76%;-2,88%;1,43;2,81%;-3,35%;0,00;650.717.000,00;0,65;46,32%
